command,action
turn go out and keep moving,move_left
turn allow and keep moving,move_left
turn pass on and keep moving,move_left
turn allow for and keep moving,move_left
turn go away and keep moving,move_left
turn get out and keep moving,move_left
turn give and keep moving,move_left
turn impart and keep moving,move_left
turn result and keep moving,move_left
turn left and restrain moving,move_left
turn left and go along moving,move_left
turn left and maintain moving,move_left
turn left and continue moving,move_left
turn left and go on moving,move_left
turn left and observe moving,move_left
turn left and celebrate moving,move_left
turn left and prevent moving,move_left
turn left and hold moving,move_left
turn left and keep move,move_left
turn left and keep motivate,move_left
turn left and keep go,move_left
turn left and keep prompt,move_left
turn left and keep impress,move_left
turn left and keep proceed,move_left
turn left and keep travel,move_left
turn left and keep strike,move_left
turn left and keep act,move_left
pass away left until the path ends,move_left
lead left until the path ends,move_left
function left until the path ends,move_left
fit left until the path ends,move_left
survive left until the path ends,move_left
start left until the path ends,move_left
live left until the path ends,move_left
last left until the path ends,move_left
belong left until the path ends,move_left
move left until the path ends,move_left
endure left until the path ends,move_left
proceed left until the path ends,move_left
run left until the path ends,move_left
sound left until the path ends,move_left
get left until the path ends,move_left
depart left until the path ends,move_left
become left until the path ends,move_left
work left until the path ends,move_left
fail left until the path ends,move_left
extend left until the path ends,move_left
operate left until the path ends,move_left
die left until the path ends,move_left
pass left until the path ends,move_left
travel left until the path ends,move_left
go away left until the path ends,move_left
perish left until the path ends,move_left
go lead until the path ends,move_left
go leave until the path ends,move_left
go go out until the path ends,move_left
go allow until the path ends,move_left
go pass on until the path ends,move_left
go allow for until the path ends,move_left
go go away until the path ends,move_left
go get out until the path ends,move_left
go give until the path ends,move_left
go impart until the path ends,move_left
go result until the path ends,move_left
go left until the path cease,move_left
go left until the path terminate,move_left
go left until the path finish,move_left
go left until the path end,move_left
